"ID"	"HAUTEUR"	"sur_map"	"sur_int"	"LIBELLE"	"LIBELONG"	"TYPEZONE"
"BATIMENT0000000334361577"	5.3	1399.75	1399.75	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361583"	3.9	23.5982	23.5982	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361578"	11.5	4050.92	4050.92	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334362050"	11.5	27.1958	27.1958	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334366459"	4.5	13.822	13.822	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334362513"	9.8	17.8197	17.8197	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334371826"	0	10.9913	10.9913	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334370510"	0	5.28021	5.28021	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334371366"	2.9	860.916	860.916	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334371365"	3.2	18.9566	18.9566	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334371404"	5.8	1095.29	1095.29	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334371825"	16.7	801.925	801.925	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334371194"	5.4	78.2219	78.2219	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334371196"	5.8	402.392	402.392	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334371197"	0	11.4674	11.4674	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334371244"	5.6	184.662	184.662	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334373069"	11	130.979	130.979	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334364932"	0	35.1098	0	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334364932"	0	35.1098	35.1098	"UB"	"Secteur residentiel des bords de Marne"	"U"
